Country,Year,Прогноз ВВП від МВФ,% ВВП 2025,% ВВП _   (2 роки)),% ВВП _   (3 роки)),% ВВП _   (4 роки)),% ВВП (ML)
Albania,2025,"$28372,00","8,96%","12,70%","9,37%","10,07%","1,27%"
Algeria,2025,"$268885,00","8,85%","6,32%","9,95%","9,96%","-1,60%"
Andorra,2025,"$4035,00","7,18%","8,66%","6,42%","8,24%","5,53%"
Angola,2025,"$113343,00","17,87%","-7,02%","16,57%","18,26%","5,31%"
Antigua and Barbuda,2025,"$2373,00","4,08%","2,32%","4,46%","4,85%","-0,42%"
Argentina,2025,"$683533,00","4,40%","-8,12%","1,73%","5,21%","-3,95%"
Armenia,2025,"$26258,00","13,31%","10,35%","16,63%","14,27%","1,01%"
Aruba,2025,"$4100,00","6,63%","5,51%","6,12%","7,65%","-1,84%"
Australia,2025,"$1771681,00","7,18%","3,38%","4,06%","8,24%","3,01%"
Austria,2025,"$534301,00","1,80%","2,48%","0,31%","2,20%","0,62%"
Azerbaijan,2025,"$78870,00","7,95%","-9,12%","5,87%","9,03%","-0,83%"
Bahamas,2025,"$15178,00","5,93%","3,04%","5,85%","6,91%","-0,18%"
Bahrain,2025,"$47829,00","4,16%","-1,35%","2,91%","4,95%","4,70%"
Bangladesh,2025,"$467218,00","1,08%","-4,61%","-0,70%","1,34%","1,92%"
Barbados,2025,"$7552,00","2,52%","1,55%","4,98%","3,05%","0,93%"
Belarus,2025,"$71561,00","2,73%","-2,32%","0,99%","3,30%","3,78%"
Belgium,2025,"$684864,00","2,34%","2,70%","0,61%","2,84%","-2,74%"
Belize,2025,"$3611,00","6,47%","3,98%","6,22%","7,48%","-5,05%"
Benin,2025,"$22236,00","2,62%","5,22%","1,70%","3,17%","-1,40%"
Bhutan,2025,"$3422,00","-4,38%","-6,59%","-4,72%","-5,79%","-0,85%"
Bolivia,2025,"$56339,00","-6,41%","-11,37%","-9,83%","-8,72%","-4,20%"
Bosnia and Herzegovina,2025,"$28807,00","7,46%","7,72%","6,35%","8,53%","1,88%"
Botswana,2025,"$19400,00","5,65%","-2,67%","0,97%","6,59%","0,59%"
Brazil,2025,"$2125958,00","10,16%","7,35%","10,50%","11,27%","-0,11%"
Brunei,2025,"$16007,00","2,82%","-7,31%","0,47%","3,41%","1,84%"
Bulgaria,2025,"$117007,00","6,22%","6,28%","5,19%","7,21%","0,93%"
Burkina Faso,2025,"$27056,00","-3,58%","-1,98%","-5,63%","-4,68%","-1,08%"
Burundi,2025,"$6745,00","-17,35%","-29,30%","-26,66%","-27,69%","-13,60%"
Cambodia,2025,"$49799,00","2,06%","3,46%","3,25%","2,51%","-2,06%"
Cameroon,2025,"$56011,00","0,46%","2,65%","-0,53%","0,57%","0,10%"
Canada,2025,"$2225341,00","7,18%","1,86%","4,12%","8,24%","-1,00%"
Cape Verde,2025,"$2786,00","6,50%","5,99%","7,06%","7,51%","0,00%"
Central African Republic,2025,"$2932,00","0,71%","3,47%","-0,31%","0,88%","0,53%"
Chad,2025,"$18792,00","6,37%","4,68%","5,44%","7,38%","1,52%"
Chile,2025,"$343823,00","2,49%","0,74%","-2,31%","3,02%","1,63%"
China,2025,"$19231705,00","2,57%","-1,36%","-1,55%","3,11%","5,60%"
Colombia,2025,"$427766,00","7,39%","7,19%","6,73%","8,45%","-2,91%"
Comoros,2025,"$1548,00","-1,22%","2,56%","-1,48%","-1,54%","0,86%"
Costa Rica,2025,"$102591,00","2,90%","8,52%","5,57%","3,50%","-2,09%"
Croatia,2025,"$98951,00","4,23%","6,19%","3,12%","5,02%","-1,11%"
Cyprus,2025,"$38736,00","1,58%","0,80%","-1,07%","1,94%","-0,90%"
Czech Republic,2025,"$360244,00","3,08%","2,49%","1,45%","3,70%","-1,70%"
Democratic Republic of the Congo,2025,"$79119,00","-1,39%","-5,13%","-2,40%","-1,77%","-2,89%"
Denmark,2025,"$449940,00","0,18%","-1,34%","-2,98%","0,23%","-1,22%"
Djibouti,2025,"$4587,00","0,10%","1,42%","0,11%","0,12%","5,26%"
Dominica,2025,"$742,00","1,50%","0,66%","1,33%","1,84%","0,47%"
Dominican Republic,2025,"$127828,00","7,72%","1,98%","6,47%","8,80%","-2,26%"
Ecuador,2025,"$125677,00","2,32%","-0,83%","1,09%","2,82%","0,36%"
Egypt,2025,"$347342,00","8,92%","-0,65%","6,98%","10,03%","9,01%"
El Salvador,2025,"$36749,00","4,02%","1,06%","2,61%","4,79%","1,34%"
Equatorial Guinea,2025,"$12684,00","4,50%","-5,54%","0,16%","5,32%","4,05%"
Estonia,2025,"$45004,00","1,94%","0,24%","-0,51%","2,37%","0,89%"
Eswatini,2025,"$5483,00","1,35%","-1,20%","-3,00%","1,65%","3,11%"
Ethiopia,2025,"$117457,00","28,81%","26,69%","28,37%","26,48%","7,94%"
Federated States of Micronesia,2025,"$500,00","-0,11%","0,23%","0,15%","-0,14%","-0,23%"
Fiji,2025,"$6257,00","2,03%","3,87%","5,60%","2,48%","-2,53%"
Finland,2025,"$303945,00","0,79%","1,48%","-1,12%","0,98%","3,97%"
France,2025,"$3211292,00","2,54%","4,52%","0,74%","3,08%","6,53%"
Gabon,2025,"$20391,00","8,31%","2,57%","4,01%","9,41%","3,29%"
Gambia,2025,"$2771,00","0,56%","1,03%","-0,51%","0,70%","-2,29%"
Georgia,2025,"$35353,00","12,32%","10,12%","14,08%","13,35%","-2,23%"
Germany,2025,"$4744804,00","2,05%","3,71%","0,57%","2,49%","-5,75%"
Ghana,2025,"$88332,00","-1,55%","-0,71%","-4,98%","-1,97%","1,91%"
Greece,2025,"$267348,00","2,93%","4,03%","1,58%","3,54%","-2,11%"
Grenada,2025,"$1464,00","1,77%","1,10%","2,11%","2,16%","-0,85%"
Guatemala,2025,"$121177,00","1,54%","0,79%","1,43%","1,89%","0,40%"
Guinea,2025,"$30094,00","-0,36%","-1,88%","-0,32%","-0,45%","-5,91%"
Guinea-Bissau,2025,"$2274,00","4,22%","7,62%","4,00%","5,01%","0,33%"
Guyana,2025,"$25822,00","32,82%","19,67%","29,20%","29,09%","-3,76%"
Haiti,2025,"$33548,00","-6,21%","-9,94%","-17,34%","-8,42%","-7,05%"
